TOKEN|MORPH ANALYSIS|UPOS
ekhasini|e-i-li-khasi-ini|N
lama-66|la-a-ma-66|POSS
lamanothi|la-a-ma-nothi|POSS
esifundo|esi-fundo|REL
.|.|PUNC

Ukukhula|u-ku-khul-a|V
okusimeme|oku-simam-il-e|REL
kwezemisebenzi|kwa-i-za-i-mi-sebenzi|POSS
kuyodinga|ku-yo-ding-a|V
umnotho|u-mnotho|N
okhula|o-khul-a|REL
ngokushesha|nga-u-ku-shesh-a|ADV
nokususwa|no-ku-sus-w-a|ADV
kwezingqinamba|kwa-i-zi-ngqinamba|POSS
zezinhlaka|za-i-zi-nhlaka|POSS
,|,|PUNC
ezifana|ezi-fan-a|REL
nezinga|na-i-zinga|ADV
eliphansi|eli-phansi|REL
lemfundo|la-i-mfundo|POSS
noma|noma|CONJ
indlela|i-n-dlela|N
yokuhlaliswa|ya-u-ku-hlal-is-w-a|POSS
kwabantu|kwa-a-ba-ntu|POSS
endaweni|e-n-dawo-ini|N
engabandakanyi|e-nga-bandakany-i|REL
iningi|i-ningi|ADV
labantu|la-a-ba-ntu|POSS
.|.|PUNC
Lokhu|lokhu|CDEM
kusemqoka|ku-s-e-m-qoka|N
ekufinyeleleni|e-ku-finyelela-ini|N
emazingeni|e-ma-zinga-ini|N
aphezulu|a-phezulu|REL
okutshala|oku-tshal-a|REL
imali|i-mali|N
nawokuqhudelana|na-wa-u-ku-qhudelan-a|ADV
namanye|na-ama-nye|ADV
amazwe|a-ma-zwe|N
,|,|PUNC
nokwandiswa|na-ku-and-is-w-a|ADV
kwemikhiqizo|kwa-i-mi-khiqizo|POSS
kanye|ka-nye|ADV
nokuthunyelwa|na-u-ku-thumel-w-a|ADV
kwempahla|kwa-i-m-pahla|POSS
ngaphandle|nga-phandle|ADV
.|.|PUNC
Amabhizinisi|a-ma-bhizinisi|N
,|,|PUNC
imisebenzi|i-mi-sebenzi|N
,|,|PUNC
imiphakathi|i-mi-phakathi|N
nohulumeni|na-hulumeni|ADV
kuyodingeka|ku-yo-ding-ek-a|V
basebenzisane|ba-sebenz-is-an-e|V
ekukhuliseni|e-ku-khulisa-ini|N
umnotho|u-mnotho|N
ngokushesha|nga-u-ku-shesh-a|ADV
.|.|PUNC

Ukusebenza|u-ku-sebenz-a|V
kanye|ka-nye|ADV
nempumelelo|na-i-n-pumelelo|ADV
yanoma|ya-na-ma|POSS
yiyiphi|yi-yiphi|COP
iprojekthi|i-projekthi|N
incike|i-ncik-e|V
kuxhaso|ku-xhaso|N
lwabantu|lwa-ba-ntu|POSS
leyo|leyo|CDEM
projekthi|i-phrojekthi|N
esuke|e-suk-e|V
iqonde|i-qond-e|V
ukubahlomulisa|u-ku-bahlomul-is-a|V
.|.|PUNC
Ngakho-ke|ngakho-ke|ADV
kubalulekile|ku-balulek-il-e|V
ukuthi|ukuthi|CONJ
izwi|i-zwi|N
labo|labo|CDEM
bonke|bo-nke|PRO
abakhathazekile|aba-khathaz-ek-ile|REL
lizwakale|li-zwakale|N
ukuqinisekisa|u-ku-qinisek-is-a|V
ukuxhaswa|u-ku-xhaswa|N
kohlelo|kwa-u-lu-hlelo|POSS
.|.|PUNC
Ngokucabanga|nga-u-ku-cabang-a|ADV
ukuthi|ukuthi|CONJ
abantu|a-ba-ntu|N
besifazane|ba-i-si-fazane|POSS
bavamise|ba-vam-is-e|POSS
ukukhishwa|u-ku-khiph-w-a|V
inyumbazane|i-nyumbazane|N
uma|uma|CONJ
izinhlelo|i-zin-hlelo|N
zifanekiswa|zi-fanekis-w-a|V
noma|noma|CONJ
zihlonzwa|zi-hlonz-w-a|V
ngokuthi|nga-u-ku-th-i|ADV
abanye|aba-nye|ADJ
abantu|a-ba-ntu|N
bangacabanga|ba-nga-cabang-a|V
ukuthi|ukuthi|CONJ
yini|yini|INT
izidingo|i-zi-dingo|N
zazo|za-zo|POSS
,|,|PUNC
kubalulekile|ku-balulek-il-e|V
ukuzwa|u-ku-zw-a|V
imibono|i-mi-bono|N
,|,|PUNC
izimvo|i-zi-mvo|N
kanye|ka-nye|ADV
nezihlongozo|na-zi-hlongozo|ADV
zabo|za-bo|POSS
zifuniwe|zi-fun-iw-e|V
ukuze|ukuze|CONJ
iprojekthi|i-phrojekthi|N
izothola|i-zo-thol-a|V
uxhaso|u-xhaso|N
lomphakathi|lwa-u-mu-phakathi|POSS
.|.|PUNC

Ukuzilungiselela|u-ku-zilungiselela|N
kahle|ka-hle|ADV
kungakusiza|ku-nga-ku-siz-a|N
ukwehlisa|u-ku-ehl-is-a|V
ixhala|i-xhala|N
lokwethula|lo-kwe-thul-a|POSS
inkulumo|i-n-khulumo|N
.|.|PUNC

Khumbula|khumbul-a|V
:|:|PUNC
ukuthi|ukuthi|CONJ
umkhakha|u-mu-khakha|N
wendawo|we-n-dawo|POSS
ngumkhakha|ngu-m-khakha|COP
lapho|lapho|CDEM
ababambi|a-ba-bamb-i|V
beqhaza|ba-qhaza|POSS
bengalibamba|be-ngali-bamb-a|V
khona|kho-na|PRO
ngendlela|nga-i-n-dlela|ADV
eyimpumelelo|e-y-i-n-pumelelo|REL
.|.|PUNC

Amawekhishophu|a-ma-wekhishophu|N
abalulekile|a-balulek-il-e|V
njengoba|njengoba|CONJ
eletha|e-leth-a|REL
ulwazi|u-lu-azi|N
futhi|futhi|CONJ
aqwashise|a-qwash-is-e|V
ngezindaba|nga-i-zin-daba|ADV
ezithile|ezi-thile|REL
futhi|futhi|CONJ
anika|a-nik-a|V
ithuba|i-thuba|N
lokwenza|la-u-ku-enz-a|POSS
inqubomgomo|i-n-qubomgomo|N
nokuthatha|na-u-ku-thath-a|ADV
izinqumo|i-zin-qumo|N
.|.|PUNC
Avame|a-vam-e|V
ukwenziwa|u-ku-enz-iw-a|V
ngamaqenjana|nga-a-ma-qembu-ana|ADV
ukuze|ukuze|CONJ
ababambe|aba-bamb-e|REL
iqhaza|i-li-qhaza|N
bezohlolisisa|be-zo-hlol-isis-a|V
udaba|u-daba|N
ngendlela|nga-n-dlela|ADV
ejulile|e-jul-il-e|REL
.|.|PUNC

Ababambe|aba-bamb-e|REL
iqhaza|i-li-qhaza|N
bahlukaniswa|ba-ahlukan-is-w-a|V
ngamaqembu|nga-a-ma-qembu|ADV
ebese|ebese|CONJ
bebheka|be-bhek-a|V
izigameko|i-zi-gameko|N
ezisekhasini|ezi-s-e-khasi-ini|REL
68|68|NUM
.|.|PUNC

Xoxa|xox-a|V
ngamazinga|ng-a-ma-zinga|N
okulawulwa|oku-lawul-w-a|REL
kokusebenza|ko-ku-sebenz-a|POSS
.|.|PUNC
Landelisa|landel-is-a|V
lokhu|lokhu|CDEM
ngokuxoxa|nga-u-ku-xox-a|ADV
ngezinqubo|nga-i-zin-qubo|N
zokuqapha|za-uku-qaph-a|POSS
nezokuhlola|na-zoku-hlol-a|ADV
.|.|PUNC

UMthetho|u-Mthetho|N
Wezinhlelo|wa-i-zin-hlelo|POSS
zikaMasipala|zi-ka-masipala|POSS
,|,|PUNC
ka-2000|ka-2000|NUM
kuhloswe|ku-hlos-w-e|V
ngawo|nga-wo|ADV
ukuthuthukisa|u-ku-thuthuk-is-a|V
isikompilo|i-si-kompilo|N
lokubamba|la-uku-bamb-a|POSS
iqhaza|i-li-qhaza|N
komphakathi|ko-u-mu-phakathi|POSS
futhi|futhi|CONJ
wenza|u-enz-a|V
ukuba|ukuba|CONJ
kube|ku-b-e|V
khona|kho-na|PRO
izindlela|i-zin-dlela|N
nezinqubo|na-i-zin-qubo|ADV
zokuqinisekisa|za-u-ku-qin-is-ek-is-a|POSS
lokhu|lokhu|CDEM
.|.|PUNC
Lo|lo|CDEM
mthetho|mu-thetho|N
ubeka|u-bek-a|V
indlela|i-n-dlela|N
yokuthi|ya-u-ku-th-i|POSS
ulwazi|u-lu-azi|N
kumele|ku-mel-e|V
ludluliswe|lu-dlul-is-w-e|V
kanjani|ka-njani|ADV
ubuye|u-buy-e|V
ubeke|u-bek-e|V
umthetho|u-mu-thetho|N
mayelana|mayela-ana|N
nesaziso|na-isaziso|ADV
somphakathi|sa-u-mu-phakathi|POSS
kanye|ka-nye|ADV
namayelana|na-mayela-ana|ADV
nokwamukelwa|na-kwa-amukel-w-a|ADV
emihlanganweni|e-mi-hlangano-ini|N
yomphakathi|ya-u-mu-phakathi|POSS
kanye|ka-nye|ADV
nokuthi|na-ku-th-i|ADV
umphakathi|u-mu-phakathi|N
kumele|ku-mel-e|V
ukuba|ukuba|CONJ
waziswe|wa-az-is-w-e|V
kanjani|ka-njani|ADV
.|.|PUNC

Sabalalisa|sabalal-is-a|V
imisebenzi|i-mi-sebenzi|N
yezenhlalakahle|ye-ze-n-hlalakahle|POSS
nezinhlelo|na-i-zin-hlelo|N
zokuqashwa|za-ku-qash-w-a|POSS
komphakathi|ko-u-mu-phakathi|POSS
,|,|PUNC
ukuvumela|u-ku-vum-el-a|V
ukuthi|ukuthi|CONJ
uhulumeni|u-hulumeni|N
asize|a-siz-e|V
asekele|a-sekel-e|V
imiphakathi|i-mi-phakathi|N
empofu|e-mpofu|REL
,|,|PUNC
ikakhulukazi|i-ka-khulukazi|N
leyo|leyo|CDEM
enamazinga|e-na-ma-zinga|REL
aphezulu|a-phezulu|REL
obelelesi|wa-u-bu-elelesi|POSS
nodlame|na-u-dlame|ADV
.|.|PUNC

I-Batho|i-Batho|N
Pele|Pele|N
inikeza|i-nikez-a|V
uhlaka|u-hlaka|N
lokuguqula|lwa-u-ku-guqul-a|POSS
ukuhlinzekwa|u-ku-hlinzek-w-a|V
kwezinsizakalo|kwa-i-zin-sizakalo|POSS
zikahulumeni|zi-ka-u-hulumeni|POSS
.|.|PUNC
I-Batho|i-Batho|N
Pele|Pele|N
,|,|PUNC
okusho|oku-sh-o|REL
ukuthi|ukuthi|CONJ
'|'|PUNC
ukubeka|u-ku-bek-a|V
abantu|a-ba-ntu|N
phambili|phambili|ADV
'|'|PUNC
yenzelwe|i-enz-el-w-e|V
ukwenza|u-ku-enz-a|V
abasebenzi|a-ba-sebenzi|N
bakahulumeni|ba-ka-u-hulumeni|POSS
ukuba|ukuba|CONJ
babenomqondo|ba-be-na-u-m-qondo|V
wokuletha|wa-u-ku-leth-a|POSS
izinsizakalo|i-zin-sizakalo|N
nokulangazelela|na-u-ku-langazelel-a|ADV
izinga|i-zinga|N
eliphezulu|eli-phezulu|REL
ekwenzeni|e-ku-enz-a-ini|V
umsebenzi|u-mu-sebenzi|N
wabo|wa-bo|POSS
.|.|PUNC
Inikeza|i-nikez-a|V
ilungelo|i-lungelo|N
kumakhasimende|ku-ma-khasimende|N
lokubophezela|la-u-ku-bophezel-a|POSS
izisebenzi|i-zi-sebenzi|N
zikahulumeni|zi-ka-u-hulumeni|POSS
maqondana|maqondana|CONJ
nendlela|na-n-dlela|ADV
ezihlinzeka|ezi-hlinzek-a|REL
ngayo|nga-yo|ADV
izinsizakalo|i-zin-sizakalo|N
.|.|PUNC
Ukuhlolwa|u-ku-hlol-w-a|V
kokusebenza|kwa-u-ku-sebenz-a|POSS
kungakalwa|ku-nga-kal-w-a|V
ngokuthi|nga-ukuthi|ADV
zisetshenziswa|zi-sebenz-is-w-a|V
kanjani|ka-njani|ADV
Izimiso|i-zi-miso|N
ze-Batho|ze-Batho|POSS
Pele|Pele|N
uma|uma|CONJ
abasebenzi|a-ba-sebenzi|N
bakahulumeni|ba-ka-u-hulumeni|POSS
besebenza|be-sebenz-a|V
nomphakathi|na-u-m-phakathi|ADV
.|.|PUNC

Isikhathi|i-si-khathi|N
-|-|PUNC
isikhathi|i-si-khathi|N
obamba|o-bamb-a|REL
ngaso|nga-so|ADV
umhlangano|u-mu-hlangano|N
noma|noma|CONJ
umbuthano|u-mbuthano|N
wokucobelelana|wo-uku-cobelelana|POSS
kufanele|ku-fan-el-e|V
sinakisiswe|si-nakis-is-w-e|V
.|.|PUNC
Uma|uma|CONJ
sekwephuze|se-kwe-phuz-e|POSS
kakhulu|ka-khulu|ADV
noma|noma|CONJ
sekusebusuku|se-ku-se-bu-suku|POSS
noma|noma|CONJ
ngempelasonto|nga-impelasonto|ADV
lapho|lapho|CDEM
amalungu|a-ma-lungu|N
omphakathi|a-u-mu-phakathi|POSS
kumele|ku-mel-e|V
abhekane|a-bhek-an-e|V
nezidingo|na-i-zi-dingo|ADV
zawo|za-wo|POSS
,|,|PUNC
noma|noma|CONJ
esemsebenzini|e-s-e-mu-sebenzi-ini|REL
,|,|PUNC
umphumela|u-mu-phumela|N
ozowuthola|o-zo-wu-thol-a|REL
kuzoba|ku-zo-b-a|V
ukuphoxeka|u-ku-phox-ek-a|V
okukhulu|oku-khulu|ADJ
.|.|PUNC

lesi|lesi|CDEM
sigaba|si-gaba|N
siqopha|si-qoph-a|V
lokho|lokho|CDEM
umgqugquzeli|u-m-gqugquzeli|N
/|/|PUNC
abagqugquzeli|a-ba-gqugquzeli|N
abakwenzile|aba-ku-enz-il-e|REL
ukwenza|u-ku-enz-a|V
lolu|lolu|CDEM
hlelo|hlelo|N
nokuthi|na-ku-th-i|ADV
ngobani|nga-o-bani|ADV
ababamba|aba-bamb-a|REL
iqhaza|i-li-qhaza|N
.|.|PUNC
Kulesi|ku-lesi|CDEM
sigaba|si-gaba|N
umgqugquzeli|u-m-gqugquzeli|N
/|/|PUNC
abagqugquzeli|a-ba-gqugquzeli|N
banikeza|ba-nikez-a|V
uhlu|u-hlu|N
lwemihlangano|lwa-i-mi-hlangano|POSS
ebanjiwe|e-bamb-iw-e|REL
kanye|kanye|CONJ
negama|na-i-gama|ADV
/|/|PUNC
inombolo|i-nombolo|N
yababebambe|ya-ba-be-bamb-e|POSS
iqhaza|i-li-qhaza|N
nabagqugquzeli|na-a-ba-gqugquzeli|ADV
.|.|PUNC

Kuyisidingo|ku-yi-si-dingo|N
esibalulekile|esi-balulek-il-e|REL
ukuthi|ukuthi|CONJ
Ikomidi|i-li-komidi|N
Lesigceme|le-sigceme|CDEM
lizibandakanye|li-zi-bandakany-e|V
kwezamasu|kwe-za-ma-su|POSS
entuthuko|e-n-tuthuko|REL
okuyiwo|oku-yi-wo|REL
enza|a-enz-a|V
ukuthi|ukuthi|CONJ
izinqubo|i-zin-qubo|N
zikamasipala|zi-ka-masipala|POSS
endaweni|e-n-dawo-ini|N
yawo|ya-wo|POSS
zihleleke|zi-hlel-ek-e|V
esikhathini|esi-khathi-ini|REL
esiyiminyaka|esi-y-i-mi-nyaka|REL
emihlanu|emi-hlanu|ADJ
.|.|PUNC
Kuyindlela|ku-y-i-n-dlela|N
eyisisekelo|e-y-i-si-sekelo|REL
lapho|lapho|CDEM
Ikomidi|i-li-komidi|N
Lesigceme|le-sigceme|CDEM
likwazi|li-ku-az-i|V
ukukhombisa|u-ku-khomb-is-a|V
ukubaluleka|u-ku-balulek-a|V
kwalo|kwa-lo|POSS
.|.|PUNC

Omasipala|o-masipala|N
kumele|ku-mel-e|V
bahlelele|ba-hlel-el-e|POSS
uhlelo|u-hlelo|N
lwe-IDP|lwa-i-IDP|POSS
isikhathi|i-si-khathi|N
esihlanganisa|esi-hlangan-is-a|REL
iminyaka|i-mi-nyaka|N
emihlanu|emi-hlanu|ADJ
.|.|PUNC
Lokhu|lokhu|CDEM
kuhlela|ku-hlel-a|V
kanye|kanye|CONJ
nokusebenza|na-u-ku-sebenz-a|ADV
kwakho|kwa-kho|POSS
kuhlelwe|ku-hlel-w-e|V
izigaba|i-zi-gaba|N
eziyisihlanu|ezi-y-i-si-hlanu|REL
njengoba|njengoba|CONJ
kubhaliwe|ku-bhal-iw-e|V
lapha|lapha|ADV
ngezansi|nga-i-zansi|ADV
.|.|PUNC
Kusemqoka|ku-s-e-m-qoka|N
ukuzejwayeza|u-ku-zi-ejwayeza|N
lezi|lezi|CDEM
zigaba|zi-gaba|N
ngenhloso|nga-i-n-hloso|ADV
yokuxhumanisa|ya-u-ku-xhum-an-is-a|POSS
izikhathi|i-zi-khathi|N
zohlelo|za-u-hlelo|POSS
lwe-CBP|lwa-i-CBP|POSS
nezohlelo|na-i-za-u-hlelo|ADV
lwe-IDP|lwa-i-IDP|POSS
.|.|PUNC
Uhlelo|u-hlelo|N
lwe-IDP|lwa-i-IDP|POSS
luyinqubo|lu-y-i-n-qubo|N
lapho|lapho|CONJ
omasipala|o-masipala|N
behlelela|be-hlel-el-a|V
khona|khona|PRO
uhlelo|u-hlelo|N
lwamaqhinga|lwa-a-ma-qhinga|POSS
ezentuthuko|e-za-i-n-tuthuko|REL
lweminyaka|lwa-i-mi-nyaka|POSS
emihlanu|emi-hlanu|ADJ
.|.|PUNC
Uhlelo|u-hlelo|N
lwe-IDP|lwa-i-IDP|POSS
luwumphumela|lu-w-u-m-phumela|N
wenqubo|wa-i-nqubo|POSS
yohlelo|ya-u-hlelo|POSS
lwezentuthuko|lwa-i-za-i-ntuthuko|POSS
kamsipala|ka-masipala|POSS
wonke|wo-nke|PRO
kanye|kanye|CONJ
nezakhamuzi|na-i-zi-akhamuzi|ADV
zawo|za-wo|POSS
.|.|PUNC

Uhlelo|u-lu-hlelo|N
lokusebenza|lwa-u-ku-sebenz-a|POSS
ngokwehlukahlukana|nga-u-kwe-hlukahlukana|ADV
ludinga|lu-dinga|N
ulwazi|u-lu-azi|N
oluningi|olu-ningi|ADJ
kanye|ka-nye|ADV
nezinhlelo|na-i-zin-hlelo|N
ezicatshangwe|ezi-cabang-w-e|REL
kahle|ka-hle|ADV
.|.|PUNC
Uhlelo|u-lu-hlelo|N
kufanele|ku-fan-el-e|V
luhlale|lu-hlal-e|V
lunendlela|lu-na-i-n-dlela|N
yokugqugquzela|ya-u-ku-gqugquzel-a|POSS
ukwahlukahlukana|u-ku-ahlukahluk-an-a|V
,|,|PUNC
ukulingana|u-ku-ling-an-a|V
kanye|ka-nye|ADV
nobulungiswa|na-u-bu-lungiswa|N
ngesikhathi|nga-i-si-khathi|ADV
esifanayo|esi-fan-a-yo|REL
luxazulule|lu-xazulul-e|V
inkinga|i-n-khinga|N
yokucwasa|ya-uku-cwas-a|POSS
.|.|PUNC

UMthethosisekelo|u-mu-thethosisekelo|N
WaseNingizimu|wa-s-e-Ningizimu|POSS
Afrika|Afrika|N
nawo|na-wo|ADV
uyazisiza|u-yazi-siz-a|V
izikhungo|i-zi-khungo|N
eziqinisa|ezi-qinis-a|REL
intando|i-n-thando|N
yeningi|ya-i-n-ningi|POSS
egxile|i-gxile|N
kumthethosisekelo|ku-m-thethosisekelo|N
.|.|PUNC
Lokhu|lokhu|CDEM
kubizwa|ku-biz-w-a|V
ngokuthi|nga-u-ku-th-i|ADV
izikhungo|i-zi-khungo|N
'|'|PUNC
zeSahluko|ze-sahluko|POSS
9|9|NUM
'|'|PUNC
njengoba|njengoba|CONJ
zibekwe|zi-bek-w-e|V
kwiSahluko|ku-i-si-ahluko|N
9|9|NUM
soMthethosisekelo|sa-u-mu-thethosisekelo|POSS
.|.|PUNC

Uhlelo|u-hlelo|N
oluzinze|olu-zinz-e|REL
emphakathini|e-mu-phakathi-ini|N
olunempumelelo|olu-na-i-mpumelelo|REL
luwukubambisana|lu-w-u-ku-bamb-is-an-a|V
phakathi|phakathi|ADV
kwabo|kwa-bo|POSS
bonke|bo-nke|PRO
abathintekile|aba-thint-ek-il-e|REL
.|.|PUNC
Amakomidi|a-ma-komidi|N
ezigceme|ezi-gceme|REL
awuhlaka|a-w-u-hlak-a|V
olwamukelekile|olu-amukel-ek-il-e|REL
oluwumgudu|olu-w-u-m-gudu|REL
izwi|i-zwi|N
lomphakathi|la-u-mu-phakathi|POSS
elizwakala|eli-zwakal-a|REL
ngawo|nga-wo|ADV
.|.|PUNC
Abagqugquzeli|a-ba-gqugquzeli|N
bohlelo|ba-u-hlelo|POSS
lwe-CBP|lwa-i-CBP|POSS
kumele|ku-mel-e|V
basebenze|ba-sebenz-e|V
nabo|na-bo|ADV
bonke|bo-nke|PRO
abathintekile|aba-thint-ek-il-e|REL
ukwenza|u-kw-enz-a|V
inqubo|i-n-qubo|N
isebenze|i-sebenz-e|V
.|.|PUNC

Amakomidi|a-ma-komidi|N
Esigceme|esi-gceme|REL
angazithola|a-nga-zi-thol-a|V
esesimweni|e-s-e-si-mo-ini|N
lapho|lapho|CONJ
kufanele|ku-fanel-e|V
abhekane|a-bhek-an-e|V
khona|khona|PRO
nengxabano|na-i-ngxabano|ADV
.|.|PUNC
Cabanga|cabang-a|V
ngalezi|nga-lezi|ADV
zimo|zi-mo|N
ezilandelayo|ezi-landel-a-yo|REL
nokuthi|na-ku-th-i|ADV
iyiphi|i-yi-phi|COP
indlela|i-n-dlela|N
esetshenzisiwe|e-sebenz-is-iw-e|REL
.|.|PUNC

Kulesi|ku-lesi|CDEM
sahluko|sa-ahluko|POSS
sizobheka|si-zo-bhek-a|V
kuhlaka|ku-uhlaka|N
lwezomthetho|lwe-zo-m-thetho|POSS
oluyisisekelo|olu-y-i-si-sekelo|REL
solwazi|so-lu-azi|POSS
sokulethwa|sa-u-ku-leth-w-a|POSS
kwemisebenzi|kwa-i-mi-sebenzi|POSS
,|,|PUNC
indima|i-n-dima|N
okumele|oku-m-el-e|REL
idlalwe|i-dlal-w-e|V
Ngamakomidi|nga-amakomidi|ADV
Ezigceme|ezi-gcem-e|REL
kanye|ka-nye|ADV
nezinhlelo|na-i-zin-hlelo|N
okumele|oku-m-el-e|REL
zibe|zi-b-e|V
khona|khona|PRO
ukuqinisekisa|u-ku-qinisek-is-a|V
ukulethwa|u-ku-leth-w-a|V
kwemisebenzi|kwa-i-mi-sebenzi|POSS
okuyimpumelelo|oku-yi-mpumelelo|REL
.|.|PUNC

AmaKomidi|a-ma-komidi|N
Ezigceme|ezi-gceme|REL
agqugquzela|a-gqugquzel-a|V
ukubamba|u-ku-bamb-a|V
komphakathi|ko-u-mu-phakathi|POSS
iqhaza|i-li-qhaza|N
ngesikhathi|nga-i-si-khathi|ADV
kwenziwa|ku-enz-iw-a|V
intuthuko|i-ntuthuko|N
,|,|PUNC
ukubuyekezwa|u-ku-buyekez-w-a|V
nokufezwa|na-u-ku-fez-w-a|ADV
kwe-IDP|kwe-IDP|POSS
.|.|PUNC
AmaKomidi|a-ma-komidi|N
Ezigceme|ezi-gceme|REL
ngakho|ngakho|ADV
kufanele|ku-fanel-e|V
azethembe|a-zi-themb-e|V
,|,|PUNC
abe|a-be|V
nolwazi|na-u-lu-azi|ADV
nekhono|na-i-khono|ADV
ukuze|ukuze|CONJ
akwazi|a-ku-az-i|V
ukwenza|u-ku-enz-a|V
lokhu|lokhu|CDEM
.|.|PUNC
Itafula|i-tafula|N
yisifinyezo|y-i-si-finyezo|COP
sababambe|sa-aba-bamb-e|POSS
iqhaza|i-li-qhaza|N
,|,|PUNC
umsebenzi|u-m-sebenzi|N
nobudlelwano|na-u-bu-dlelwano|ADV
babo|ba-bo|POSS
neKomidi|na-i-komidi|ADV
Lezigceme|la-i-zi-gceme|POSS
.|.|PUNC

Umehluko|U-mehluko|N
wobulili|wo-u-bu-lili|POSS
uchaza|u-chaz-a|V
umehluko|u-mu-hluko|N
phakathi|phakathi|ADV
kwabesifazane|kwa-a-be-si-fazane|POSS
nabesilisa|na-be-si-lisa|ADV
okukhethwa|oku-kheth-w-a|REL
ngokuzithandela|nga-u-ku-zi-thand-el-a|ADV
futhi|futhi|CONJ
okungancikile|oku-nga-ncik-il-e|REL
kumagugu|ku-ma-gugu|N
.|.|PUNC
Kodwa-ke|kodwa-ke|ADV
,|,|PUNC
'|'|PUNC
umehluko|u-mu-hluko|N
'|'|PUNC
omkhulu|omu-khulu|ADJ
phakathi|phakathi|ADV
kwabesilisa|kwa-a-be-si-lisa|POSS
nabesifazane|na-a-be-si-fazane|ADV
,|,|PUNC
ngisho|ngi-sh-o|COP
lapho|lapho|CDEM
okubandakanya|oku-bandakany-a|REL
ukuzikhethela|u-ku-zi-kheth-el-a|V
(|(|PUNC
isib.|isib.|ABBR
yini|yini|INT
ozoyigqoka|o-zo-yi-gqoka|REL
)|)|PUNC
,|,|PUNC
kodwa|kodwa|CONJ
kugxile|ku-gxil-e|V
kakhulu|ka-khulu|ADV
ezinhlakeni|e-zin-hlaka-ini|N
zokungalingani|zo-ku-nga-lingani|POSS
ngokobulili|nga-ko-bu-lili|ADV
,|,|PUNC
ngokujwayelekile|nga-u-ku-jwayelek-ile|ADV
okunomthelela|o-kuna-u-mu-thelela|REL
ekubukeleni|e-ku-bukel-a-ini|V
phansi|phansi|ADV
ukuzikhethela|u-ku-zi-kheth-el-a|V
kwabesifazane|kwa-a-be-si-fazane|POSS
futhi|futhi|CONJ
kubhebhezela|ku-bhebhezela|N
ukufinyelela|u-ku-finyelel-a|V
emandleni|e-mandla-ini|N
kanye|ka-nye|ADV
nasezinsizeni|na-s-e-zin-siz-ini|ADV
zokungalingani|zo-ku-nga-lingani|POSS
.|.|PUNC

Inqubo|i-nqubo|N
ehleleke|e-hlelek-e|REL
ngokusezingeni|ng-oku-s-e-zinga-ini|COP
eliphezulu|eli-phezulu|REL
eqhutshwa|e-qhub-w-a|REL
yinkantolo|y-i-nkantolo|COP
yomthetho|ya-u-m-thetho|POSS
,|,|PUNC
ijaji|i-jaji|N
elingachemile|eli-nga-chem-il-e|REL
noma|noma|CONJ
imantshi|i-mantshi|N
ephoqelela|e-phoq-elel-a|V
isinqumo|i-si-n-qumo|N
sokugcina|sa-u-ku-gcin-a|POSS
emva|e-mu-va|ADV
kokulalela|kwa-u-ku-lalel-a|POSS
ubufakazi|u-bu-fakazi|N
nokuphikisana|na-u-ku-phikis-an-a|ADV
okusemthethweni|oku-s-e-m-thetho-ini|REL
kwezinhlangothi|kwa-i-zin-hlangothi|POSS
zombili|zo-m-bili|POSS
.|.|PUNC
Isinqumo|i-si-n-qumo|N
sayo|sa-yo|POSS
sizoncika|si-zo-ncik-a|V
emthethweni|e-mu-thetho-ini|N
wecala|wa-i-cala|POSS
,|,|PUNC
umthethomgomo|u-m-thethomgomo|N
nokomthetho|na-okwa-u-m-thetho|ADV
okwenziwe|oku-enz-iw-e|REL
ngaphambili|nga-phambili|ADV
.|.|PUNC

Iprojekthi|i-projekthi|N
yinoma|yi-noma|COP
yimuphi|yi-mu-phi|COP
umsebenzi|u-mu-sebenzi|N
wokuthuthukisa|wo-ku-thuthuk-is-a|POSS
ukwethulwa|u-kwe-thul-w-a|V
kwezidingo|kwa-i-zi-dingo|POSS
noma|noma|CONJ
umkhiqizo|u-mu-khiqizo|N
ngesikhathi|nga-i-si-khathi|ADV
esinqunyiwe|esi-nquny-iw-e|REL
.|.|PUNC
Kufanele|ku-fan-el-e|V
yengeze|y-engez-e|COP
ukubaluleka|u-ku-balulek-a|V
noma|noma|CONJ
ilethe|i-leth-e|V
ngandlelathile|nga-ndlelathil-e|ADV
ushintsho|u-lu-shintsho|N
oluhle|olu-hle|REL
.|.|PUNC
Iprojekthi|i-projekthi|N
inesikhathi|i-na-i-si-khathi|N
esithile|esi-thile|REL
esikaliwe|esi-kal-iw-e|REL
,|,|PUNC
hhayi|hhayi|INT
ibe|i-be|V
wuhlelo|wu-u-lu-hlelo|COP
oluqhubekayo|olu-qhubek-a-yo|REL
nje|nje|ADV
noma|noma|CONJ
olungapheli|olu-nga-phel-i|REL
,|,|PUNC
futhi|futhi|CONJ
inesabelomali|i-ne-sabelomali|N
esikaliwe|esi-kal-iw-e|REL
futhi|futhi|CONJ
ngokujwayelekile|nga-u-ku-jwayelekile|ADV
ngumsebenzi|ng-u-mu-sebenzi|COP
owenziwa|o-wu-enz-iw-a|REL
kanye|ka-nye|ADV
.|.|PUNC
Ekuhanjisweni|e-ku-hamb-is-w-a-ini|V
kwemisebenzi|kwa-i-mi-sebenzi|POSS
